Nodes,processor,MHz,Chips,Cores,Total Threads,Total Memory (GB),avg. watts @ 100%,avg. watts @ active idle,launch_date,company,brand,make,model,moniker,version
1,Intel Xeon E3-1260L,2400,1,4,8,8,54,14.9,2011,intel,xeon,, e3-1260,l,
1,Intel Xeon E3-1260L,2400,1,4,8,8,57.2,17.8,2011,intel,xeon,, e3-1260,l,
18,Intel Xeon X5675,3067,36,216,432,216,"4,272","1,032",2011,intel,xeon,, x5675,,
1,Intel Xeon E5-2660,2200,2,16,32,32,245,53.1,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-2660,2200,2,16,32,32,257,58.6,2012,intel,xeon,, e5-2660,,
18,Intel Xeon E5-2470,2300,36,288,576,432,"4,965","1,014",2012,intel,xeon,, e5-2470,,
1,Intel Xeon E3-1265LV2,2500,1,4,8,8,59.5,19.1,2012,intel,xeon,, e3-1265,l,
1,Intel Xeon E3-1265LV2,2500,1,4,8,8,56.2,15.7,2012,intel,xeon,, e3-1265,l,
1,Intel Xeon E5-2660,2200,2,16,32,24,240,52.6,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-2660,2200,2,16,32,24,240,52.3,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E3-1265LV2,2500,1,4,8,8,55.3,18.9,2012,intel,xeon,, e3-1265,l,
1,Intel Xeon E5-4640,2400,4,32,64,48,402,94.6,2012,intel,xeon,, e5-4640,,
1,Intel Xeon E5-2470,2300,2,16,32,24,252,51.4,2012,intel,xeon,, e5-2470,,
1,Intel Xeon E3-1240V2,3400,1,4,8,8,72.5,14.1,2012,intel,xeon,, e3-1240,,v2
1,Intel Xeon E5-2470,2300,2,16,32,24,252,50.7,2012,intel,xeon,, e5-2470,,
1,Intel Xeon E5-4640,2400,4,32,64,48,420,97.1,2012,intel,xeon,, e5-4640,,
1,Intel Xeon E5-2660,2200,2,16,32,24,245,54,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-2660,2200,2,16,32,24,258,59.8,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-2660,2200,2,16,32,24,245,55.2,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-2660,2200,2,16,32,24,246,55.1,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E3-1265Lv3,2500,1,4,8,8,58.5,19,2013,intel,xeon,, e3-1265,l,
1,Intel Xeon E3-1265Lv3,2500,1,4,8,8,69.8,17.7,2013,intel,xeon,, e3-1265,l,
