processor_x,company_x,brand,make,model,moniker,version,Nodes,processor_y,MHz,Chips,Cores,Total Threads,Total Memory (GB),avg. watts @ 100%,avg. watts @ active idle,launch_date,company_y,watts per thread idle,watts per thread max,watts per core idle,watts per core max,threads per core
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660,2200.0,2.0,16.0,32,24,196,56.1,2012.0,intel,1.75,6.13,3.51,12.25,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660,2200.0,2.0,16.0,32,16,190,56.5,2012.0,intel,1.77,5.94,3.53,11.88,2.0
Xeon E5-2660,,xeon,, e5-2660,,,2.0,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200.0,4.0,32.0,64,48,507,99.1,2012.0,intel,1.55,7.92,3.1,15.84,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200.0,2.0,16.0,32,24,262,57.2,2012.0,intel,1.79,8.19,3.58,16.38,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200.0,2.0,16.0,32,24,256,57.3,2012.0,intel,1.79,8.0,3.58,16.0,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200.0,2.0,16.0,32,24,265,60.6,2012.0,intel,1.89,8.28,3.79,16.56,2.0
Xeon E5-2660,,xeon,, e5-2660,,,4.0,Intel Xeon E5-2660,2200.0,8.0,64.0,128,96,"1,116",268,2012.0,intel,2.09,8.72,4.19,17.44,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660 (2.20GHz),2200.0,2.0,16.0,32,32,272,83.6,2012.0,intel,2.61,8.5,5.22,17.0,2.0
Xeon E5-2665,,xeon,, e5-2665,,,1.0,Intel Xeon E5-2665,2400.0,2.0,16.0,32,128,409,103,2012.0,intel,3.22,12.78,6.44,25.56,2.0
Xeon E5-2665,,xeon,, e5-2665,,,1.0,Intel Xeon E5-2665,2400.0,2.0,16.0,32,128,414,96.6,2012.0,intel,3.02,12.94,6.04,25.88,2.0
Xeon E5-2665,,xeon,, e5-2665,,,1.0,Intel Xeon E5-2665,2400.0,2.0,16.0,32,128,409,103,2012.0,intel,3.22,12.78,6.44,25.56,2.0
Xeon E5-2665,,xeon,, e5-2665,,,1.0,Intel Xeon E5-2665,2400.0,2.0,16.0,32,32,275,56.2,2012.0,intel,1.76,8.59,3.51,17.19,2.0
Xeon E5-2665,,xeon,, e5-2665,,,1.0,Intel Xeon E5-2665,2400.0,2.0,16.0,32,128,347,115,2012.0,intel,3.59,10.84,7.19,21.69,2.0
Xeon E5-2665,,xeon,, e5-2665,,,1.0,Intel Xeon E5-2665,2400.0,2.0,16.0,32,128,331,102,2012.0,intel,3.19,10.34,6.38,20.69,2.0
Xeon E5-2670,,xeon,, e5-2670,,,4.0,Intel Xeon E5-2670 2.6 GHz (Intel Turbo Boost Technology up to 3.30 GHz),2600.0,8.0,64.0,128,512,"1,700",364,2013.0,intel,2.84,13.28,5.69,26.56,2.0
Xeon E5-2670,,xeon,, e5-2670,,,1.0,Intel Xeon E5-2670 2.60 GHz,2600.0,2.0,16.0,32,24,243,54.1,2012.0,intel,1.69,7.59,3.38,15.19,2.0
Xeon E5-2670,,xeon,, e5-2670,,,1.0,Intel Xeon E5-2670 2.60 GHz,2600.0,2.0,16.0,32,24,231,51,2012.0,intel,1.59,7.22,3.19,14.44,2.0
